"Código","Componente","Inadequado"
"D01","Domicílio Improvisado",0
"D02","Material de Parede Inadequado",0
"D03","Densidade Excessiva em Apartamento ou Lote Condominial",2
"D04","Coabitação",0
"D05","Aluguel com Inadequações",4
"D06","Moradia em Cômodo",1
"D07","Famílias em Situação de Rua",0
"D00","Domicílios em assentamentos precários com previsão de remoção",0
"Déficit","Total Déficit",6
"I01","Densidade Excessiva",9
"I02","Ausência de Banheiro",0
"I03","Material do Piso",0
"I04","Água Canalizada (Urbano)",0
"I05","Esgotamento Sanitário",17
"I06","Abastecimento de Água por Rede Pública (Urbano)",2
"I07","Energia Elétrica",0
"I08","Coleta de Lixo (Urbano)",0
"I09","Ônus Excessivo com Aluguel",2
"I00","Domicílios em assentamentos precários sem previsão de remoção",54
"Inadequação","Total Inadequação",54
