"Código","Componente","Inadequado"
"D01","Domicílio Improvisado",0
"D02","Material de Parede Inadequado",1
"D03","Densidade Excessiva em Apartamento ou Lote Condominial",19
"D04","Coabitação",0
"D05","Aluguel com Inadequações",9
"D06","Moradia em Cômodo",1
"D07","Famílias em Situação de Rua",0
"D00","Domicílios em assentamentos precários com previsão de remoção",0
"Déficit","Total Déficit",27
"I01","Densidade Excessiva",29
"I02","Ausência de Banheiro",4
"I03","Material do Piso",4
"I04","Água Canalizada (Urbano)",1
"I05","Esgotamento Sanitário",0
"I06","Abastecimento de Água por Rede Pública (Urbano)",0
"I07","Energia Elétrica",5
"I08","Coleta de Lixo (Urbano)",0
"I09","Ônus Excessivo com Aluguel",10
"I00","Domicílios em assentamentos precários sem previsão de remoção",213
"Inadequação","Total Inadequação",213
