"Código","Componente","Inadequado"
"D01","Domicílio Improvisado",0
"D02","Material de Parede Inadequado",0
"D03","Densidade Excessiva em Apartamento ou Lote Condominial",11
"D04","Coabitação",1
"D05","Aluguel com Inadequações",8
"D06","Moradia em Cômodo",2
"D07","Famílias em Situação de Rua",0
"D00","Domicílios em assentamentos precários com previsão de remoção",0
"Déficit","Total Déficit",19
"I01","Densidade Excessiva",37
"I02","Ausência de Banheiro",0
"I03","Material do Piso",0
"I04","Água Canalizada (Urbano)",1
"I05","Esgotamento Sanitário",1
"I06","Abastecimento de Água por Rede Pública (Urbano)",1
"I07","Energia Elétrica",4
"I08","Coleta de Lixo (Urbano)",0
"I09","Ônus Excessivo com Aluguel",9
"I00","Domicílios em assentamentos precários sem previsão de remoção",194
"Inadequação","Total Inadequação",194
