"Código","Componente","Inadequado"
"D01","Domicílio Improvisado",0
"D02","Material de Parede Inadequado",14
"D03","Densidade Excessiva em Apartamento ou Lote Condominial",47
"D04","Coabitação",2
"D05","Aluguel com Inadequações",45
"D06","Moradia em Cômodo",3
"D07","Famílias em Situação de Rua",0
"D00","Domicílios em assentamentos precários com previsão de remoção",0
"Déficit","Total Déficit",100
"I01","Densidade Excessiva",106
"I02","Ausência de Banheiro",1
"I03","Material do Piso",1
"I04","Água Canalizada (Urbano)",3
"I05","Esgotamento Sanitário",48
"I06","Abastecimento de Água por Rede Pública (Urbano)",34
"I07","Energia Elétrica",73
"I08","Coleta de Lixo (Urbano)",0
"I09","Ônus Excessivo com Aluguel",44
"I00","Domicílios em assentamentos precários sem previsão de remoção",908
"Inadequação","Total Inadequação",908
